ID,Style_Keyword,English_Prompt
1,Casual,Oversized graphic t-shirt with biker shorts and chunky sneakers. Messy low bun with face-framing layers
2,School,Navy blazer with a pleated check skirt and a crisp white shirt. Neat half-up half-down with a thin ribbon
3,Sexy,Black leather corset top with a micro mini skirt and silver chain belts. Sleek straight long hair with a deep side part
4,Spring,Floral chiffon long dress with a light pastel cardigan. Soft loose waves with flower hair clips
5,Sporty,Tennis bra top with a pleated mini skirt and wristbands. High ponytail with a sporty headband
6,Sexy,Red velvet mini dress with bold cutout details. Voluminous blowout curls with a glossy finish
7,Spring,Tweed setup in soft pink with a pearl button jacket and matching skirt. Low chignon with pearl hairpins
8,School,White shirt with a necktie and a knit vest paired with a short skirt. Two low pigtails with soft curled ends
9,Casual,High-waisted wide denim pants with a tight solid-colored crop top. Claw clip messy updo with loose tendrils
10,Sporty,Brand logo track suit set in a vibrant color. Sleek high ponytail with a scrunchie
11,Sexy,Sheer black lace bodysuit with high-waisted hot pants. Long straight black hair with wet-look styling
12,Spring,White blouse with a large lace collar and light wash denim. Braided crown hairstyle with baby breath flowers
13,Casual,Vintage jeans with a flannel check shirt tied around the waist. Tousled shoulder-length bob with curtain bangs
14,School,Emblem-embroidered cardigan with a gray tennis skirt. Straight black hair with a simple headband
15,Sporty,Cropped baseball jersey with white hot pants. French braid ponytail with a ball cap
16,Sexy,Garter-style strap cargo pants paired with a tight tank top. Slicked-back high bun with gold cuff earrings
17,Spring,Pastel yellow knit cardigan with a white mini skirt. Loose romantic curls with a daisy hair clip
18,Casual,Pastel hoody and jogger pants lounge set. Messy top knot with wispy bangs
19,School,Beige trench-style school dress with a thin belt. Straight medium hair with a preppy side clip
20,Sporty,Neon-accented leggings with a cropped windbreaker. Boxer braids with neon-colored hair ties
21,Sexy,Latex cropped jacket with a tight pencil skirt. Pin-straight long platinum blonde hair
22,Spring,Balloon sleeve blouse layered with a bustier dress. Soft half-up with ribbon bow at the back
23,Casual,Overall denim pants with a simple short-sleeve tee and canvas shoes. Loose natural waves past the shoulders
24,School,Pink checkered shirt with a ribbon tie and high-school style skirt. Twin braids with small ribbon bows
25,Sporty,Basketball jersey worn as a dress with high-top sneakers. Sporty bubble ponytail
26,Sexy,Asymmetric off-shoulder silk dress with thigh-high boots. Glamorous old Hollywood side-swept waves
27,Spring,Polka dot dress with a matching beret. Chin-length French bob with soft bangs
28,Casual,Knit vest over a white button-down shirt with loose-fit slacks. Low messy ponytail with a silk scarf
29,School,Oversized cardigan with knee-high socks and a school skirt. Neat low twin tails with velvet ribbons
30,Sporty,Boxing shorts with a hooded crop top and a sporty headband. Tight cornrow braids into a ponytail
31,Sexy,Jeweled bra top under a sheer cardigan. Long layered hair with beachy waves and body chain accessories
32,Spring,Pastel blue shirt dress with classic loafers. Soft bouncy blowout with a thin satin headband
33,Casual,Denim jacket over a floral mini dress for a mix-and-match look. Textured lob with middle part
34,School,Cropped school jacket with a low-rise pleated skirt. Sleek low ponytail with a plaid scrunchie
35,Sporty,Golf skirt with a polo shirt and athletic knee socks. Visor cap over a low side ponytail
36,Sexy,Backless halter neck top with skinny leather pants. Long flowing hair with dramatic volume at the crown
37,Spring,Embroidered cardigan with a soft tulle chiffon skirt. Milkmaid braids with pastel ribbon weave
38,Casual,Beanie hat with a striped long-sleeve tee and cargo pants. Straight hair tucked under a beanie with front pieces out
39,School,Classic spectacles with a neat shirt and V-neck sweater. Neat middle-parted straight hair with clips
40,Sporty,Mesh layered top with loose training pants. High messy bun with a sweat-wicking headband
41,Sexy,Leopard print slip dress with a faux fur jacket. Tousled big curls with smokey eye makeup accent
42,Spring,Lavender off-shoulder top with white denim skinny jeans. Soft waterfall curls with lavender hair clip
43,Casual,Retro color-blocked windbreaker with a denim skirt. 90s-inspired half-up ponytail with claw clip
44,School,Varsity jacket with a school-style cargo skirt. Straight bob with a plaid headband
45,Sporty,Swimsuit-style bodysuit paired with cargo jogger pants. Slicked-back ponytail with a sports visor
46,Sexy,Metallic silver tube top with black leather joggers. Long jet-black straight hair with a center part and face-framing highlights
47,Spring,Mint checkered cardigan with a white tennis skirt. Low twisted bun with mint green hair ribbon
48,Casual,Ugly shoes with a loose cardigan and linen trousers. Air-dried natural wavy hair with middle part
49,School,Sailor collar light coat with casual canvas shoes. Short bob cut with blunt bangs
50,Sporty,Low-rise track pants with a sports bra and a ball cap. Double Dutch braids tucked under a cap
51,Sexy,Full sequin-embellished jumpsuit for a stage look. Sleek center-parted long hair with rhinestone hair clips
52,Spring,Ballerina flats with ribbon details and a tulle skirt. Classic ballet bun with a satin ribbon wrap
53,Casual,Graffiti print shirt with black distressed jeans. Choppy layered medium cut with messy texture
