ID,Style_Keyword,English_Prompt
1,Casual,Oversized graphic t-shirt with biker shorts and chunky sneakers
2,School,Navy blazer with a pleated check skirt and a crisp white shirt
3,Sexy,Black leather corset top with a micro mini skirt and silver chain belts
4,Spring,Floral chiffon long dress with a light pastel cardigan
5,Sporty,Tennis bra top with a pleated mini skirt and wristbands
6,Sexy,Red velvet mini dress with bold cutout details
7,Spring,Tweed setup in soft pink with a pearl button jacket and matching skirt
8,School,White shirt with a necktie and a knit vest paired with a short skirt
9,Casual,High-waisted wide denim pants with a tight solid-colored crop top
10,Sporty,Brand logo track suit set in a vibrant color
11,Sexy,Sheer black lace bodysuit with high-waisted hot pants
12,Spring,White blouse with a large lace collar and light wash denim
13,Casual,Vintage jeans with a flannel check shirt tied around the waist
14,School,Emblem-embroidered cardigan with a gray tennis skirt
15,Sporty,Cropped baseball jersey with white hot pants
16,Sexy,Garter-style strap cargo pants paired with a tight tank top
17,Spring,Pastel yellow knit cardigan with a white mini skirt
18,Casual,Pastel hoody and jogger pants lounge set
19,School,Beige trench-style school dress with a thin belt
20,Sporty,Neon-accented leggings with a cropped windbreaker
21,Sexy,Latex cropped jacket with a tight pencil skirt
22,Spring,Balloon sleeve blouse layered with a bustier dress
23,Casual,Overall denim pants with a simple short-sleeve tee and canvas shoes
24,School,Pink checkered shirt with a ribbon tie and high-school style skirt
25,Sporty,Basketball jersey worn as a dress with high-top sneakers
26,Sexy,Asymmetric off-shoulder silk dress with thigh-high boots
27,Spring,Polka dot dress with a matching beret
28,Casual,Knit vest over a white button-down shirt with loose-fit slacks
29,School,Oversized cardigan with knee-high socks and a school skirt
30,Sporty,Boxing shorts with a hooded crop top and a sporty headband
31,Sexy,Jeweled bra top under a sheer cardigan
32,Spring,Pastel blue shirt dress with classic loafers
33,Casual,Denim jacket over a floral mini dress for a mix-and-match look
34,School,Cropped school jacket with a low-rise pleated skirt
35,Sporty,Golf skirt with a polo shirt and athletic knee socks
36,Sexy,Backless halter neck top with skinny leather pants
37,Spring,Embroidered cardigan with a soft tulle chiffon skirt
38,Casual,Beanie hat with a striped long-sleeve tee and cargo pants
39,School,Classic spectacles with a neat shirt and V-neck sweater
40,Sporty,Mesh layered top with loose training pants
41,Sexy,Leopard print slip dress with a faux fur jacket
42,Spring,Lavender off-shoulder top with white denim skinny jeans
43,Casual,Retro color-blocked windbreaker with a denim skirt
44,School,Varsity jacket with a school-style cargo skirt
45,Sporty,Swimsuit-style bodysuit paired with cargo jogger pants
46,Sexy,Metallic silver tube top with black leather joggers
47,Spring,Mint checkered cardigan with a white tennis skirt
48,Casual,Ugly shoes with a loose cardigan and linen trousers
49,School,Sailor collar light coat with casual canvas shoes
50,Sporty,Low-rise track pants with a sports bra and a ball cap
51,Sexy,Full sequin-embellished jumpsuit for a stage look
52,Spring,Ballerina flats with ribbon details and a tulle skirt
53,Casual,Graffiti print shirt with black distressed jeans
54,School,Frill-decorated crop blouse with high-waisted school shorts
55,Sporty,Oversized tee with ripped jeans for a skater girl look
56,Sexy,Thigh-high lace-up boots with an oversized white shirt
57,Spring,Denim jacket with a coral-toned skirt and a straw hat
58,Casual,Cropped sweatshirt with wide-leg cotton pants
59,School,Olive green knit vest with an oxford shirt
60,Sporty,Cycling shorts with an oversized crewneck sweatshirt
61,Sexy,Deep side-slit long dress with bold gold jewelry
62,Spring,Pearl-buttoned cardigan with slim-fit slacks
63,Casual,Varsity jacket with a short pleated skirt
64,School,Small floral print jumpsuit with clean sneakers
65,Sporty,Padded vest with sweatpants and a knit beanie
66,Sexy,Black leather bustier with a thick choker necklace
67,Spring,Sheer ribbon-decorated blouse with half-up hair styling
68,Casual,Tone-on-tone beige look with an eco-friendly tote bag
69,School,Peach-toned dress with lace socks and Mary Jane shoes
70,Sporty,Reflective techwear-style outfit with multiple straps
71,Sexy,Python print mini dress with stiletto heels
72,Spring,Heart-patterned knit with a light denim skirt
73,Casual,Leather mini skirt with a chunky white oversized sweater
74,School,Yellow plaid setup inspired by 90s teen movies
75,Sporty,Vintage bowling shirt with slim cotton pants
76,Sexy,Unique vinyl-mixed top with hot pants
77,Casual,Low-rise pants with visible logo-print underwear waistband
78,School,Backpack styled with a loose hoodie and school trousers
79,Sporty,Sporty mini dress with striped knee-high socks
80,Sexy,Silk robe-style dress with a wide corset belt
81,Casual,Sunglasses with a black tank top and camouflage pants
82,School,Leather loafers with white socks and a flared school skirt
83,Sporty,Crop gym tank top with elastic banding shorts
84,Sexy,Power shoulder blazer with a "no-pants" look
85,Casual,Quilted jacket with straight-leg denim and ankle boots
86,School,Striped necktie with a beret and school-style shorts
87,Sporty,Soccer jersey style tee with a metallic mini skirt
88,Sexy,Micro denim shorts with fishnet stockings and a leather jacket
89,Casual,Layered necklaces with a short-sleeve crop shirt
90,School,Canvas shoes with a sporty school PE-style uniform
91,Sporty,Yoga set layered with an oversized plaid shirt
92,Sexy,Velvet top with thin jewelry straps on the neckline
93,Casual,Denim mini skirt with a vintage band tee
94,School,Letterman cardigan with a short pleated skirt
95,Sporty,Neoprene material dress with high-tech sneakers
96,Sexy,Glittery tube top with a sheer lace duster
97,Casual,High-waisted paper bag shorts with a tucked-in tank top
98,School,Bold headband with a preppy-style button-down shirt
99,Sexy,Satin mini dress with a diamond-encrusted waist belt
100,School,Double-buttoned blazer with gold buttons and a mini skirt
