ID,Posture_Keyword,English_Prompt
1,Standing,Standing with legs crossed at the ankles and hands in pockets
2,Sitting,Sitting on a high stool with one leg dangling and the other tucked
3,Dynamic,Mid-air jump with a joyful expression and flying hair
4,Close-up,Resting chin on both hands while looking directly at the camera
5,Leaning,Leaning against a graffiti wall with one knee bent against it
6,Walking,Confident runway walk with one hand adjusting sunglasses
7,Sitting,Squatting low on the ground with a hip-hop street vibe
8,Standing,Hands on hips with a slight head tilt and a charismatic gaze
9,Dynamic,Twirling around making the skirt flare out in a circle
10,Perspective,Looking down at the camera from a high-angle "bird's eye" view
11,Close-up,Winking at the camera with a finger over the lips (shh gesture)
12,Standing,One hand pulling a jacket slightly off the shoulder
13,Leaning,Leaning back on a vintage car with arms crossed
14,Sitting,Sitting cross-legged on the floor with a relaxed smile
15,Dynamic,Running towards the camera with a bright "spring" energy
16,Perspective,Low-angle shot looking up to make the legs look extra long
17,Standing,Touching the back of the neck with one hand looking sideways
18,Close-up,Peeking through fingers like a "mask" gesture
19,Sitting,Perched on the edge of a velvet sofa with an elegant posture
20,Walking,Casual stroll looking back over the shoulder with a smile
21,Dynamic,Kick-starting a pose as if dancing to a high-tempo song
22,Leaning,Side profile leaning against a glass window with reflections
23,Standing,Fixing a hair tie while looking into the distance
24,Close-up,Extreme close-up focusing on eye makeup and a piercing gaze
25,Sitting,Lying sideways on a plush rug supporting the head with one hand
26,Perspective,Dutch tilt (slanted angle) for a dynamic and edgy street feel
27,Dynamic,Blowing a kiss towards the camera with a playful wink
28,Standing,Adjusting a necktie or collar with a serious "school" look
29,Leaning,Leaning on a balcony railing looking out at the city lights
30,Sitting,Sitting with knees tucked to the chest and chin resting on knees
31,Walking,Striding forward while holding a coffee cup or a small bag
32,Dynamic,Stretching arms high above the head like a sporty warm-up
33,Close-up,Biting the end of a lollipop or a pencil for a "teen" vibe
34,Standing,Slightly arched back with hands resting on the upper thighs
35,Perspective,Framing the face with hands in a "camera lens" shape
36,Sitting,Sitting on stairs with legs stretched out at different levels
37,Leaning,Back-to-back leaning against a neon sign pole
38,Standing,Holding the hem of a skirt and bowing slightly like a princess
39,Dynamic,Hair flip with a sharp motion and a fierce expression
40,Close-up,Gently touching an earring or a necklace to highlight jewelry
41,Sitting,Relaxed pose on a park bench with one arm over the backrest
42,Walking,Slow motion walk with a dreamy and ethereal "spring" mood
43,Standing,Crossing arms and looking down with a "chic" aura
44,Perspective,Wide-angle lens effect showing the whole outfit from a low point
45,Dynamic,A sharp "stop" pose with one hand reaching for the camera
46,Leaning,Leaning on a locker with a playful "high school" smirk
47,Close-up,Blowing bubbles with bubblegum looking directly forward
48,Standing,Hands clasped behind the back with a shy and innocent look
49,Sitting,Sitting on a suitcase as if waiting at an airport
50,Dynamic,Throwing a peace sign (V-sign) near the eye
51,Standing,Tucking a strand of hair behind the ear
52,Leaning,Leaning sideways against a tree with a soft "spring" vibe
53,Sitting,Sitting on the floor with legs spread and hands on the floor behind
54,Walking,Walking away from the camera and turning the head slightly
55,Perspective,Canted angle shot emphasizing the movement of the hair
56,Close-up,Resting one cheek on the palm of the hand (heart-cheek pose)
57,Dynamic,A powerful "warrior" stance with a wide leg base
58,Standing,Checking a wristwatch with a busy "manager" vibe
59,Leaning,Leaning forward towards the camera with an intense gaze
60,Sitting,Sitting on a gym floor with a water bottle nearby
61,Walking,Skipping forward with a light and airy "spring" energy
62,Standing,One hand on the waist and the other brushing through hair
63,Close-up,Pouting slightly with a "tsundere" or cute expression
64,Dynamic,Shadow boxing or a sporty karate-style pose
65,Perspective,Looking through a "fisheye" lens for a 90s hip-hop style
66,Sitting,Sitting elegantly with legs crossed and back straight
67,Leaning,Leaning against a brick wall with one hand over the forehead
68,Standing,Modeling a backpack by holding both straps
69,Close-up,A "cat-like" pose with hands mimicking paws near the face
70,Dynamic,Jumping off a small ledge with arms spread wide
71,Walking,Walking while looking at a phone with a casual "airport" look
72,Standing,Pointing at the camera with a confident "center" vibe
73,Leaning,Resting elbows on a table and looking up playfully
74,Sitting,Sitting on a bicycle with one foot on the pedal
75,Close-up,Holding a single flower close to the face
76,Standing,A "model's T-pose" with slight variations in arm height
77,Perspective,Profile shot focusing on the "S-line" silhouette
78,Dynamic,Catching a falling petal or leaf in the air
79,Leaning,Leaning against a dance studio mirror with a sweaty, tired look
80,Sitting,Sitting on a swing set looking nostalgic
81,Walking,Striding with a long coat fluttering in the wind
82,Standing,Hands in a heart shape over the head
83,Close-up,Adjusting a hat or a beanie over the eyes
84,Dynamic,A graceful ballet-style pose with one leg extended
85,Perspective,Extreme high-angle shot looking at the top of the head/shoulders
86,Leaning,Leaning back-to-back with an invisible partner
87,Sitting,Sitting on a pile of books for a "nerdy-chic" look
88,Standing,Shoulders shrugged with a "clueless" expression
89,Close-up,Looking over the top of glasses with a smirk
90,Dynamic,Pretending to play an invisible electric guitar
91,Walking,Walking with a shopping bag in each hand
92,Standing,Holding a megaphone or a microphone stand
93,Leaning,Leaning on a piano with a soulful expression
94,Sitting,Sitting in a director's chair with a "cool leader" vibe
95,Close-up,Highlighting a manicure by placing hands near the face
96,Dynamic,Spinning a basketball on one finger
97,Perspective,A "POV" shot as if the viewer is holding the idol's hand
98,Standing,Saluting with one hand for a "military-inspired" stage look
99,Leaning,Leaning against a vending machine with a soda can
100,Sitting,Sitting on a rooftop ledge with the city skyline behind
